Unnamed: 0,actions,states,trial,ts
6,1,3,19,11
7,1,3,19,12
8,1,3,19,13
9,1,3,19,14
10,1,3,19,15
11,1,3,19,16
12,1,3,19,17
13,0,3,19,18
1,1,2,19,19
2,0,2,19,20
0,2,1,19,21
3,2,2,19,22
14,2,3,19,23
20,1,4,19,24
21,1,4,19,25
22,0,4,19,26
15,1,3,19,27
16,1,3,19,28
17,1,3,19,29
18,1,3,19,32
42,0,8,20,0
43,1,8,20,1
44,1,8,20,2
45,1,8,20,3
46,0,8,20,4
40,0,7,20,5
36,2,6,20,6
41,0,7,20,7
37,0,6,20,8
34,2,5,20,9
38,1,6,20,10
39,0,6,20,11
35,0,5,20,12
29,0,4,20,13
10,1,3,20,14
11,1,3,20,15
12,2,3,20,16
30,0,4,20,17
13,2,3,20,18
31,0,4,20,19
14,1,3,20,20
15,1,3,20,21
16,2,3,20,22
32,0,4,20,23
17,2,3,20,24
33,0,4,20,25
18,1,3,20,26
19,1,3,20,27
20,0,3,20,28
2,0,2,20,29
0,2,1,20,30
3,1,2,20,31
4,1,2,20,32
5,1,2,20,33
6,0,2,20,34
1,2,1,20,35
7,1,2,20,36
8,2,2,20,37
21,1,3,20,38
22,1,3,20,39
23,1,3,20,40
24,1,3,20,41
25,1,3,20,42
26,1,3,20,43
27,0,3,20,44
9,2,2,20,45
28,1,3,20,46
43,0,8,21,0
44,2,8,21,1
47,0,9,21,2
45,1,8,21,3
46,0,8,21,4
42,0,7,21,5
41,0,6,21,6
36,0,5,21,7
23,2,4,21,8
37,0,5,21,9
24,0,4,21,10
3,2,3,21,11
25,2,4,21,12
38,0,5,21,13
26,0,4,21,14
4,1,3,21,15
5,2,3,21,16
27,0,4,21,17
6,1,3,21,18
7,1,3,21,19
8,1,3,21,20
9,2,3,21,21
28,2,4,21,22
39,1,5,21,23
40,0,5,21,24
29,0,4,21,25
10,1,3,21,26
11,1,3,21,26
12,2,3,21,27
30,1,4,21,28
31,0,4,21,29
13,1,3,21,30
14,2,3,21,31
32,1,4,21,32
33,0,4,21,33
15,0,3,21,34
0,1,2,21,35
1,1,2,21,36
2,2,2,21,37
16,2,3,21,38
34,1,4,21,39
35,0,4,21,40
17,1,3,21,41
18,1,3,21,42
19,1,3,21,43
20,1,3,21,44
21,1,3,21,45
22,1,3,21,46
22,0,8,22,0
23,2,8,22,1
25,0,9,22,2
24,0,8,22,3
21,0,7,22,4
19,1,6,22,5
20,0,6,22,6
18,0,5,22,7
17,0,4,22,8
3,1,3,22,9
4,1,3,22,10
5,1,3,22,11
6,1,3,22,12
7,0,3,22,13
0,2,2,22,14
8,1,3,22,15
9,1,3,22,16
10,1,3,22,17
11,1,3,22,18
12,1,3,22,19
13,1,3,22,20
14,0,3,22,21
1,1,2,22,22
2,2,2,22,23
15,1,3,22,24
16,1,3,22,25
29,0,8,23,0
30,1,8,23,1
31,0,8,23,2
27,2,7,23,3
32,1,8,23,4
33,0,8,23,5
28,0,7,23,6
26,0,6,23,7
25,0,5,23,8
22,0,4,23,9
6,1,3,23,10
7,1,3,23,11
8,1,3,23,12
9,1,3,23,13
10,1,3,23,14
11,1,3,23,15
12,1,3,23,16
13,1,3,23,17
14,1,3,23,18
15,0,3,23,19
1,1,2,23,20
2,0,2,23,21
0,2,1,23,22
3,2,2,23,23
16,2,3,23,24
23,0,4,23,25
17,1,3,23,26
18,0,3,23,26
4,1,2,23,27
5,2,2,23,28
19,1,3,23,29
20,2,3,23,30
24,0,4,23,31
21,1,3,23,32
25,0,8,24,0
26,0,8,24,1
23,1,7,24,2
24,0,7,24,3
22,0,6,24,4
21,0,5,24,5
17,0,4,24,6
1,1,3,24,7
2,0,3,24,8
0,2,2,24,9
3,1,3,24,10
4,1,3,24,11
5,1,3,24,12
6,1,3,24,13
7,1,3,24,14
8,2,3,24,15
18,0,4,24,16
9,2,3,24,17
19,0,4,24,18
10,2,3,24,19
20,0,4,24,20
11,1,3,24,21
12,1,3,24,22
13,1,3,24,23
14,1,3,24,24
15,1,3,24,25
16,1,3,24,26
26,0,8,25,0
27,1,8,25,1
28,0,8,25,2
24,2,7,25,3
29,0,8,25,4
25,0,7,25,5
23,0,6,25,6
21,1,5,25,7
22,0,5,25,8
16,0,4,25,9
1,2,3,25,10
17,1,4,25,11
18,0,4,25,12
2,1,3,25,13
3,1,3,25,14
4,1,3,25,15
5,1,3,25,16
6,2,3,25,17
19,1,4,25,18
20,0,4,25,19
7,1,3,25,20
8,1,3,25,21
9,1,3,25,22
10,1,3,25,23
11,1,3,25,24
12,1,3,25,25
13,1,3,25,26
14,1,3,25,27
15,0,3,25,28
0,2,2,25,29
20,0,8,26,0
21,1,8,26,1
22,1,8,26,2
23,0,8,26,3
19,0,7,26,4
18,0,6,26,5
17,0,5,26,6
16,0,4,26,7
2,1,3,26,8
3,1,3,26,9
4,1,3,26,10
5,0,3,26,11
0,2,2,26,12
6,1,3,26,13
7,1,3,26,14
8,1,3,26,15
9,1,3,26,16
10,1,3,26,17
11,0,3,26,18
1,2,2,26,19
12,1,3,26,20
13,1,3,26,21
14,1,3,26,22
15,1,3,26,23
22,0,8,27,0
23,0,8,27,1
20,2,7,27,2
24,2,8,27,3
26,0,9,27,4
25,0,8,27,5
21,0,7,27,6
19,0,6,27,7
18,0,5,27,8
17,0,4,27,9
3,1,3,27,10
4,1,3,27,11
5,0,3,27,12
0,1,2,27,13
1,2,2,27,14
