,actions,states,trial,ts
647,2,1,7,42
648,2,2,7,43
649,1,3,7,44
650,0,3,7,45
651,2,2,7,46
652,0,3,7,47
653,2,2,7,48
654,1,3,7,49
655,1,3,7,50
656,1,3,7,51
657,1,3,7,52
658,2,3,7,53
659,0,4,7,54
660,0,3,7,55
661,1,2,7,56
662,2,2,7,57
663,1,3,7,58
664,1,3,7,59
665,1,3,7,60
666,1,3,7,61
667,2,3,7,62
668,0,4,7,63
669,0,3,7,64
670,2,2,7,65
671,1,3,7,66
672,2,3,7,67
673,0,4,7,68
674,2,3,7,69
675,0,4,7,70
676,2,3,7,71
677,2,4,7,72
678,1,5,7,73
679,0,5,7,74
680,0,4,7,75
681,2,3,7,76
682,2,4,7,77
683,0,5,7,78
684,1,4,7,79
685,0,4,7,80
686,1,3,7,81
687,1,3,7,82
688,1,3,7,83
689,1,3,7,84
690,1,3,7,85
691,1,3,7,86
692,1,3,7,87
693,1,3,7,88
694,0,3,7,89
695,2,2,7,90
696,1,3,7,91
697,2,3,7,92
698,0,4,7,93
699,1,3,7,94
700,1,3,7,95
701,1,3,7,96
702,1,3,7,97
703,0,3,7,98
704,2,2,7,99
705,0,4,7,100
706,0,8,8,0
707,2,8,8,1
708,1,9,8,2
709,0,9,8,3
710,0,8,8,4
711,2,7,8,5
712,0,8,8,6
713,0,7,8,7
714,2,6,8,8
715,0,7,8,9
716,0,6,8,10
717,0,5,8,11
718,1,4,8,12
719,1,4,8,13
720,2,4,8,14
721,1,5,8,15
722,1,5,8,16
723,0,5,8,17
724,0,4,8,18
725,1,3,8,19
726,0,3,8,20
727,2,2,8,21
728,1,3,8,22
729,1,3,8,23
730,0,3,8,24
731,2,2,8,25
732,1,3,8,26
733,2,3,8,27
734,0,4,8,28
735,1,3,8,29
736,1,3,8,30
737,2,3,8,31
738,2,4,8,32
739,0,5,8,33
740,0,4,8,34
741,1,3,8,35
742,1,3,8,36
743,1,3,8,37
744,1,3,8,38
745,2,3,8,39
746,0,4,8,40
747,1,3,8,41
748,1,3,8,42
749,1,3,8,43
750,1,3,8,44
751,1,3,8,45
752,1,3,8,46
753,1,3,8,47
754,1,3,8,48
755,1,3,8,49
756,2,3,8,50
757,0,4,8,51
758,1,3,8,52
759,1,3,8,53
760,1,3,8,54
761,1,3,8,55
762,1,3,8,56
763,1,3,8,57
764,1,3,8,58
765,2,3,8,59
766,2,4,8,60
767,2,5,8,61
768,1,6,8,62
769,0,6,8,63
770,0,5,8,64
771,0,4,8,65
772,1,3,8,66
773,1,3,8,67
774,2,3,8,68
775,0,4,8,69
776,1,3,8,70
777,1,3,8,71
778,1,3,8,72
779,1,3,8,73
780,1,3,8,74
781,0,3,8,75
782,2,2,8,76
783,1,3,8,77
784,1,3,8,78
785,1,3,8,79
786,2,3,8,80
787,0,4,8,81
788,0,3,8,82
789,0,2,8,83
790,2,1,8,84
791,2,2,8,85
792,1,3,8,86
793,1,3,8,87
794,1,3,8,88
795,1,3,8,89
796,1,3,8,90
797,1,3,8,91
798,1,3,8,92
799,1,3,8,93
800,2,3,8,94
801,2,4,8,95
802,0,5,8,96
803,0,4,8,97
804,1,3,8,98
805,1,3,8,99
806,1,3,8,100
807,0,8,9,0
808,2,8,9,1
809,0,9,9,2
810,0,8,9,3
811,2,7,9,4
812,0,8,9,5
813,0,7,9,6
814,0,6,9,7
815,0,5,9,8
816,1,4,9,9
817,0,4,9,10
818,1,3,9,11
819,1,3,9,12
820,1,3,9,13
821,0,3,9,14
822,2,2,9,15
823,1,3,9,16
824,1,3,9,17
825,1,3,9,18
826,2,3,9,19
827,0,4,9,20
828,0,3,9,21
829,2,2,9,22
830,1,3,9,23
831,1,3,9,24
832,0,3,9,25
833,1,2,9,26
834,2,2,9,27
835,1,3,9,28
836,2,3,9,29
837,1,4,9,30
838,0,4,9,31
839,1,3,9,32
840,1,3,9,33
841,1,3,9,34
842,2,3,9,35
843,0,4,9,36
844,0,3,9,37
845,2,2,9,38
846,2,3,9,39
847,0,4,9,40
848,1,3,9,41
849,1,3,9,42
850,1,3,9,43
851,1,3,9,44
852,1,3,9,45
853,1,3,9,46
854,1,3,9,47
855,1,3,9,48
856,2,3,9,49
857,2,4,9,50
858,0,5,9,51
859,0,4,9,52
860,1,3,9,53
861,2,3,9,54
862,0,4,9,55
863,0,3,9,56
864,1,2,9,57
865,0,2,9,58
866,2,1,9,59
867,2,2,9,60
868,1,3,9,61
869,1,3,9,62
870,2,3,9,63
871,0,4,9,64
872,2,3,9,65
873,0,4,9,66
874,1,3,9,67
875,1,3,9,68
876,1,3,9,69
877,2,3,9,70
878,0,4,9,71
879,1,3,9,72
880,0,3,9,73
881,2,2,9,74
882,1,3,9,75
883,2,3,9,76
884,2,4,9,77
885,2,5,9,78
886,0,6,9,79
887,1,5,9,80
888,2,5,9,81
889,0,6,9,82
890,1,5,9,83
891,2,5,9,84
892,0,6,9,85
893,1,5,9,86
894,2,5,9,87
895,0,6,9,88
896,1,5,9,89
897,0,5,9,90
898,0,4,9,91
899,1,3,9,92
900,1,3,9,93
901,1,3,9,94
902,1,3,9,95
903,1,3,9,96
904,2,3,9,97
905,1,4,9,98
906,0,4,9,99
907,2,3,9,100
908,0,8,10,0
909,1,8,10,1
910,0,8,10,2
911,0,7,10,3
912,0,6,10,4
913,0,5,10,5
914,0,4,10,6
915,1,3,10,7
916,1,3,10,8
917,1,3,10,9
918,1,3,10,10
919,1,3,10,11
920,1,3,10,12
921,1,3,10,13
922,2,3,10,14
923,0,4,10,15
924,1,3,10,16
925,1,3,10,17
926,1,3,10,18
927,1,3,10,19
928,0,3,10,20
929,2,2,10,21
930,1,3,10,22
931,2,3,10,23
932,0,4,10,24
933,1,3,10,25
934,1,3,10,26
935,1,3,10,27
936,2,3,10,28
937,1,4,10,29
938,0,4,10,30
939,0,3,10,31
940,1,2,10,32
941,0,2,10,33
942,0,1,10,34
943,0,0,10,35
944,2,0,10,36
945,1,1,10,37
946,2,1,10,38
947,2,2,10,39
948,1,3,10,40
949,1,3,10,41
950,1,3,10,42
951,1,3,10,43
952,0,3,10,44
953,2,2,10,45
954,2,3,10,46
955,0,4,10,47
956,1,3,10,48
957,0,3,10,49
958,2,2,10,50
959,0,3,10,51
960,2,2,10,52
961,1,3,10,53
962,1,3,10,54
963,1,3,10,55
964,1,3,10,56
965,1,3,10,57
966,1,3,10,58
967,2,3,10,59
968,0,4,10,60
969,1,3,10,61
970,1,3,10,62
971,1,3,10,63
972,1,3,10,64
973,1,3,10,65
974,1,3,10,66
975,1,3,10,67
976,1,3,10,68
977,1,3,10,69
978,1,3,10,70
979,2,3,10,71
980,0,4,10,72
981,0,3,10,73
982,0,2,10,74
983,1,1,10,75
984,2,1,10,76
985,2,2,10,77
986,1,3,10,78
987,2,3,10,79
988,1,4,10,80
989,0,4,10,81
990,0,3,10,82
991,0,2,10,83
992,2,1,10,84
993,2,2,10,85
994,1,3,10,86
995,1,3,10,87
996,1,3,10,88
997,1,3,10,89
998,1,3,10,90
999,2,3,10,91
1000,2,4,10,92
1001,0,5,10,93
1002,0,4,10,94
1003,2,3,10,95
1004,0,4,10,96
1005,2,3,10,97
1006,0,4,10,98
1007,1,3,10,99
1008,1,3,10,100
1009,0,8,11,0
1010,1,8,11,1
1011,2,8,11,2
1012,0,9,11,3
1013,0,8,11,4
1014,0,7,11,5
1015,0,6,11,6
1016,1,5,11,7
1017,0,5,11,8
1018,0,4,11,9
1019,2,3,11,10
1020,2,4,11,11
1021,1,5,11,12
1022,0,5,11,13
1023,0,4,11,14
1024,1,3,11,15
1025,1,3,11,16
1026,1,3,11,17
1027,1,3,11,18
1028,0,3,11,19
1029,2,2,11,20
1030,1,3,11,21
1031,1,3,11,22
1032,1,3,11,23
1033,1,3,11,24
1034,1,3,11,25
1035,1,3,11,26
1036,2,3,11,27
1037,0,4,11,28
1038,1,3,11,29
1039,1,3,11,30
1040,2,3,11,31
1041,0,4,11,32
1042,1,3,11,33
1043,1,3,11,34
1044,2,3,11,35
1045,2,4,11,36
1046,0,5,11,37
1047,0,4,11,38
1048,1,3,11,39
1049,1,3,11,40
1050,2,3,11,41
1051,0,4,11,42
1052,1,3,11,43
1053,1,3,11,44
1054,1,3,11,45
1055,1,3,11,46
1056,1,3,11,47
1057,1,3,11,48
1058,1,3,11,49
1059,1,3,11,50
1060,1,3,11,51
1061,1,3,11,52
1062,2,3,11,53
1063,0,4,11,54
1064,1,3,11,55
1065,1,3,11,56
1066,1,3,11,57
1067,1,3,11,58
1068,0,3,11,59
1069,2,2,11,60
1070,2,3,11,61
1071,0,4,11,62
1072,0,3,11,63
1073,0,2,11,64
1074,1,1,11,65
1075,1,1,11,66
1076,2,1,11,67
1077,2,2,11,68
1078,1,3,11,69
1079,1,3,11,70
1080,2,3,11,71
1081,0,4,11,72
1082,1,3,11,73
1083,1,3,11,74
1084,1,3,11,75
1085,2,3,11,76
1086,2,4,11,77
1087,0,5,11,78
1088,2,4,11,79
1089,1,5,11,80
1090,2,5,11,81
1091,0,6,11,82
1092,1,5,11,83
1093,1,5,11,84
1094,0,5,11,85
1095,1,4,11,86
1096,2,4,11,87
1097,0,5,11,88
1098,0,4,11,89
1099,1,3,11,90
1100,1,3,11,91
1101,0,3,11,92
1102,2,2,11,93
1103,1,3,11,94
1104,0,3,11,95
1105,2,2,11,96
1106,1,3,11,97
1107,2,3,11,98
1108,0,4,11,99
1109,1,3,11,100
1110,0,8,12,0
1111,2,8,12,1
1112,0,9,12,2
1113,0,8,12,3
1114,0,7,12,4
1115,0,6,12,5
1116,0,5,12,6
1117,0,4,12,7
1118,1,3,12,8
1119,2,3,12,9
1120,1,4,12,10
1121,0,4,12,11
1122,1,3,12,12
1123,0,3,12,13
1124,0,2,12,14
1125,2,1,12,15
1126,2,2,12,16
1127,1,3,12,17
1128,1,3,12,18
1129,1,3,12,19
1130,1,3,12,20
1131,1,3,12,21
1132,1,3,12,22
1133,2,3,12,23
1134,0,4,12,24
1135,2,3,12,25
1136,0,4,12,26
1137,1,3,12,27
1138,2,3,12,28
1139,0,4,12,29
1140,1,3,12,30
1141,1,3,12,31
1142,1,3,12,32
1143,1,3,12,33
1144,1,3,12,34
1145,0,3,12,35
