,actions,states,trial,ts
571,0,3,6,67
572,1,2,6,68
573,0,2,6,69
574,2,1,6,70
575,2,2,6,71
576,1,3,6,72
577,1,3,6,73
578,1,3,6,74
579,1,3,6,75
580,1,3,6,76
581,1,3,6,77
582,1,3,6,78
583,0,3,6,79
584,2,2,6,80
585,1,3,6,81
586,0,3,6,82
587,2,2,6,83
588,1,3,6,84
589,1,3,6,85
590,0,3,6,86
591,2,2,6,87
592,1,3,6,88
593,1,3,6,89
594,1,3,6,90
595,1,3,6,91
596,1,3,6,92
597,1,3,6,93
598,1,3,6,94
599,0,3,6,95
600,2,2,6,96
601,1,3,6,97
602,1,3,6,98
603,0,3,6,99
604,1,3,6,100
605,0,8,7,0
606,1,8,7,1
607,0,8,7,2
608,0,7,7,3
609,0,6,7,4
610,0,5,7,5
611,0,4,7,6
612,1,3,7,7
613,0,3,7,8
614,2,2,7,9
615,1,3,7,10
616,1,3,7,11
617,1,3,7,12
618,1,3,7,13
619,2,3,7,14
620,0,4,7,15
621,2,3,7,16
622,2,4,7,17
623,0,5,7,18
624,0,4,7,19
625,1,3,7,20
626,1,3,7,21
627,1,3,7,22
628,1,3,7,23
629,1,3,7,24
630,1,3,7,25
631,0,3,7,26
632,2,2,7,27
633,2,3,7,28
634,0,4,7,29
635,0,3,7,30
636,1,2,7,31
637,1,2,7,32
638,2,2,7,33
639,1,3,7,34
640,1,3,7,35
641,1,3,7,36
642,1,3,7,37
643,1,3,7,38
644,1,3,7,39
645,1,3,7,40
646,1,3,7,41
647,1,3,7,42
648,1,3,7,43
649,1,3,7,44
650,1,3,7,45
651,1,3,7,46
652,2,3,7,47
653,1,4,7,48
654,0,4,7,49
655,2,3,7,50
656,1,4,7,51
657,0,4,7,52
658,2,3,7,53
659,2,4,7,54
660,2,5,7,55
661,0,6,7,56
662,0,5,7,57
663,2,4,7,58
664,0,5,7,59
665,0,4,7,60
666,1,3,7,61
667,0,3,7,62
668,2,2,7,63
669,0,3,7,64
670,2,2,7,65
671,1,3,7,66
672,1,3,7,67
673,2,3,7,68
674,0,4,7,69
675,0,3,7,70
676,2,2,7,71
677,1,3,7,72
678,1,3,7,73
679,2,3,7,74
680,2,4,7,75
681,0,5,7,76
682,0,4,7,77
683,1,3,7,78
684,1,3,7,79
685,1,3,7,80
686,1,3,7,81
687,1,3,7,82
688,1,3,7,83
689,2,3,7,84
690,0,4,7,85
691,1,3,7,86
692,1,3,7,87
693,1,3,7,88
694,0,3,7,89
695,2,2,7,90
696,1,3,7,91
697,1,3,7,92
698,0,3,7,93
699,0,2,7,94
700,2,1,7,95
701,2,2,7,96
702,0,3,7,97
703,0,2,7,98
704,2,1,7,99
705,2,2,7,100
706,0,8,8,0
707,1,8,8,1
708,0,8,8,2
709,0,7,8,3
710,0,6,8,4
711,0,5,8,5
712,0,4,8,6
713,1,3,8,7
714,1,3,8,8
715,2,3,8,9
716,2,4,8,10
717,0,5,8,11
718,2,4,8,12
719,2,5,8,13
720,0,6,8,14
721,0,5,8,15
722,0,4,8,16
723,0,3,8,17
724,2,2,8,18
725,1,3,8,19
726,1,3,8,20
727,1,3,8,21
728,1,3,8,22
729,1,3,8,23
730,2,3,8,24
731,0,4,8,25
732,0,3,8,26
733,1,2,8,27
734,2,2,8,28
735,1,3,8,29
736,1,3,8,30
737,0,3,8,31
738,2,2,8,32
739,1,3,8,33
740,1,3,8,34
741,1,3,8,35
742,1,3,8,36
743,1,3,8,37
744,1,3,8,38
745,1,3,8,39
746,1,3,8,40
747,1,3,8,41
748,1,3,8,42
749,1,3,8,43
750,1,3,8,44
751,1,3,8,45
752,0,3,8,46
753,0,2,8,47
754,0,1,8,48
755,2,0,8,49
756,0,1,8,50
757,2,0,8,51
758,0,1,8,52
759,2,0,8,53
760,2,1,8,54
761,2,2,8,55
762,0,3,8,56
763,1,2,8,57
764,0,2,8,58
765,0,1,8,59
766,2,0,8,60
767,2,1,8,61
768,2,2,8,62
769,0,3,8,63
770,2,2,8,64
771,1,3,8,65
772,1,3,8,66
773,1,3,8,67
774,1,3,8,68
775,1,3,8,69
776,2,3,8,70
777,0,4,8,71
778,1,3,8,72
779,1,3,8,73
780,1,3,8,74
781,1,3,8,75
782,1,3,8,76
783,1,3,8,77
784,0,3,8,78
785,2,2,8,79
786,1,3,8,80
787,1,3,8,81
788,1,3,8,82
789,1,3,8,83
790,0,3,8,84
791,2,2,8,85
792,1,3,8,86
793,1,3,8,87
794,1,3,8,88
795,1,3,8,89
796,1,3,8,90
797,1,3,8,91
798,1,3,8,92
799,1,3,8,93
800,1,3,8,94
801,2,3,8,95
802,0,4,8,96
803,1,3,8,97
804,1,3,8,98
805,1,3,8,99
806,1,2,8,100
807,0,8,9,0
808,1,8,9,1
809,0,8,9,2
810,0,7,9,3
811,0,6,9,4
812,0,5,9,5
813,0,4,9,6
814,1,3,9,7
815,1,3,9,8
816,2,3,9,9
817,0,4,9,10
818,1,3,9,11
819,1,3,9,12
820,1,3,9,13
821,1,3,9,14
822,0,3,9,15
823,2,2,9,16
824,1,3,9,17
825,1,3,9,18
826,1,3,9,19
827,1,3,9,20
828,2,3,9,21
829,0,4,9,22
830,1,3,9,23
831,1,3,9,24
832,1,3,9,25
833,1,3,9,26
834,1,3,9,27
835,1,3,9,28
836,2,3,9,29
837,0,4,9,30
838,1,3,9,31
839,1,3,9,32
840,1,3,9,33
841,1,3,9,34
842,0,3,9,35
843,2,2,9,36
844,1,3,9,37
845,1,3,9,38
846,1,3,9,39
847,2,3,9,40
848,0,4,9,41
849,1,3,9,42
850,1,3,9,43
851,1,3,9,44
852,1,3,9,45
853,1,3,9,46
854,2,3,9,47
855,0,4,9,48
856,2,3,9,49
857,0,4,9,50
858,1,3,9,51
859,1,3,9,52
860,0,3,9,53
861,1,2,9,54
862,2,2,9,55
863,1,3,9,56
864,0,3,9,57
865,2,2,9,58
866,1,3,9,59
867,1,3,9,60
868,2,3,9,61
869,0,4,9,62
870,1,3,9,63
871,1,3,9,64
872,1,3,9,65
873,2,3,9,66
874,2,4,9,67
875,0,5,9,68
876,0,4,9,69
877,0,3,9,70
878,2,2,9,71
879,1,3,9,72
880,1,3,9,73
881,0,3,9,74
882,0,2,9,75
883,2,1,9,76
884,2,2,9,77
885,1,3,9,78
886,0,3,9,79
887,1,2,9,80
888,1,2,9,81
889,2,2,9,82
890,1,3,9,83
891,1,3,9,84
892,1,3,9,85
893,2,3,9,86
894,0,4,9,87
895,0,3,9,88
896,2,2,9,89
897,0,3,9,90
898,2,2,9,91
899,1,3,9,92
900,1,3,9,93
901,1,3,9,94
902,1,3,9,95
903,1,3,9,96
904,0,3,9,97
905,2,2,9,98
906,1,3,9,99
907,1,3,9,100
908,0,8,10,0
909,1,8,10,1
910,0,8,10,2
911,2,7,10,3
912,0,8,10,4
913,0,7,10,5
914,1,6,10,6
915,0,6,10,7
916,2,5,10,8
917,1,6,10,9
918,0,6,10,10
919,1,5,10,11
920,1,5,10,12
921,2,5,10,13
922,0,6,10,14
923,2,5,10,15
924,1,6,10,16
925,0,6,10,17
926,0,5,10,18
927,2,4,10,19
928,2,5,10,20
929,0,6,10,21
930,0,5,10,22
931,0,4,10,23
932,0,3,10,24
933,2,2,10,25
934,1,3,10,26
935,0,3,10,27
936,1,2,10,28
937,0,2,10,29
938,0,1,10,30
939,1,0,10,31
940,2,0,10,32
941,0,1,10,33
942,2,0,10,34
943,1,1,10,35
944,2,1,10,36
945,2,2,10,37
946,2,3,10,38
947,1,4,10,39
948,0,4,10,40
949,2,3,10,41
950,1,4,10,42
951,0,4,10,43
952,1,3,10,44
953,1,3,10,45
954,1,3,10,46
955,1,3,10,47
956,2,3,10,48
957,0,4,10,49
958,0,3,10,50
959,2,2,10,51
960,1,3,10,52
961,2,3,10,53
962,0,4,10,54
963,2,3,10,55
964,0,4,10,56
965,1,3,10,57
966,1,3,10,58
967,1,3,10,59
968,1,3,10,60
969,1,3,10,61
970,1,3,10,62
971,0,3,10,63
972,1,2,10,64
973,2,2,10,65
974,1,3,10,66
975,2,3,10,67
976,0,4,10,68
977,1,3,10,69
978,2,3,10,70
979,0,4,10,71
980,1,3,10,72
981,0,3,10,73
982,0,2,10,74
983,0,1,10,75
984,2,0,10,76
985,2,1,10,77
986,0,2,10,78
987,2,1,10,79
988,2,2,10,80
989,2,3,10,81
990,0,4,10,82
991,0,3,10,83
992,1,2,10,84
993,2,2,10,85
994,1,3,10,86
995,1,3,10,87
996,2,3,10,88
997,0,4,10,89
998,1,3,10,90
999,1,3,10,91
1000,2,3,10,92
1001,0,4,10,93
1002,2,3,10,94
1003,2,4,10,95
1004,0,5,10,96
1005,0,4,10,97
1006,2,3,10,98
1007,0,4,10,99
1008,0,3,10,100
1009,0,8,11,0
1010,1,8,11,1
1011,1,8,11,2
1012,0,8,11,3
1013,0,7,11,4
1014,0,6,11,5
1015,1,5,11,6
1016,0,5,11,7
1017,0,4,11,8
1018,1,3,11,9
1019,1,3,11,10
1020,1,3,11,11
1021,0,3,11,12
1022,2,2,11,13
1023,1,3,11,14
1024,1,3,11,15
1025,1,3,11,16
1026,1,3,11,17
1027,1,3,11,18
1028,1,3,11,19
1029,1,3,11,20
1030,1,3,11,21
1031,1,3,11,22
1032,1,3,11,23
1033,1,3,11,24
1034,1,3,11,25
1035,1,3,11,26
1036,1,3,11,27
1037,1,3,11,28
1038,1,3,11,29
1039,1,3,11,30
1040,2,3,11,31
1041,2,4,11,32
1042,0,5,11,33
1043,0,4,11,34
1044,0,3,11,35
1045,2,2,11,36
1046,1,3,11,37
1047,1,3,11,38
1048,1,3,11,39
1049,1,3,11,40
1050,1,3,11,41
1051,1,3,11,42
1052,1,3,11,43
1053,1,3,11,44
1054,1,3,11,45
1055,0,3,11,46
1056,2,2,11,47
1057,1,3,11,48
1058,1,3,11,49
1059,1,3,11,50
1060,1,3,11,51
1061,2,3,11,52
1062,2,4,11,53
1063,0,5,11,54
1064,1,4,11,55
1065,0,4,11,56
1066,0,3,11,57
1067,1,2,11,58
1068,1,2,11,59
1069,2,2,11,60
1070,1,3,11,61
1071,1,3,11,62
1072,1,3,11,63
1073,0,3,11,64
